VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Attack from Mars (Bally 1995)	JPSalas Version, Wed21 PMD MOD	SS	VPX	JP Salas, Wed21	?		afm_113b	FALSE	
Attila the Hun (Game Plan 1984)		SS	VPX	Hsm, Xenonph, Dboyrecords, Destruk	1.0a	07-05-2018	attila	FALSE	
Austin Powers (Stern 2001)		SS	VPX	Javier1515, 32assassin, Dstruct, Francisco666, Rom, ClarkKent, Ninuzzu	1.01	08-06-2017	austin	FALSE	
Avatar, James Cameron's (Stern 2010)	Bigus MOD	SS	VPX	Bigus1, Frenaticamnesic, 85vett, Hauntfreaks, 32assassin	1.2	16-08-2019	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	DZ MOD	SS	VPX	Dazzlaa, Thalamus, 85vett, Freneticamnesic, Xenonph, TerryRed, Crabtree, Rob Ross, G5k	1.0	15-09-2018	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)		SS	VPX	Thalamus, HauntFreaks, GtxJoe, 85vett, Freneticamnesic	1.14	13-01-2019	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)	Real MOD	SS	VPX	Freneticamnesic, Francisco666, Lacarril, 85vett, Neofr45	1.0.5	07-11-2017	avr_200	FALSE	
Avatar, James Cameron's (Stern 2010)		SS	VPX	Freneticamnesic	Beta	01-08-2016	avr_200	FALSE	
Aztec (Williams 1976)	Sound and Reflecting MOD	EM	VPX	JPJ, Team PP, Arngrim, Chucky87, Leon Spalding, Ced, Ninuzzu	1.3	22-02-2019		FALSE	
Baby Pac-Man (Bally 1982)		SS	VPX	32assassin, UncleWilly, Gangafarmer, HauntFreaks, Kristian, DarthMarino	1.1	04-01-2018	babypac	FALSE	
Back to the Future (Data East 1990)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas, Cyberpez, Wrd1972, Rothbauerw, ClarkKent, Dark, Zany, Flupper1, nFozzy, Evileye, Wrd1972	1.0 FSS Rev. R2.5	16-11-2018	bttf_a27	FALSE	
Back to the Future (Data East 1990)	Bigus MOD	SS	VPX	Bigus1, Cyberpez	1.0	22-08-2019	bttf_a27	FALSE	
Back to the Future (Data East 1990)	Surround Sound MOD	SS	VPX	Cyberpez, Wrd1972, Rothbauerw, JPSalas, ClarkKent, HauntFreaks, Dark, Zany, Flupper1, nFozzy, Evileye, RustyCardores	1.4	01-10-2018	bttf_a27	FALSE	
Back to the Future (Data East 1990)	Graphics MOD	SS	VPX	Delta6014, Cyberpez	BTTF 1.4 PF Mod	12-04-2019	bttf_a27	FALSE	
Back to the Future - VR Room (Data East 1990)	VR Version, VPVR, VR Room	SS	VPX	Senseless, Cyberpez, HauntFreaks, Stuzza, 3rdaxis, Caligula	1.0	17-01-2020	bttf_a27	FALSE	
Bad Cats (Williams 1989)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, UncleWilly, ClarkKent, Dark	1.2 FSS Rev. R2.5	13-11-2018	bvats_l5	FALSE	
Bad Cats (Williams 1989)		SS	VPX	UncleWilly, Nunzio, Knorr, ClarkKent	1.2.1a	26-11-2018	bvats_l5	FALSE	
Bad Girls (Gottlieb 1988)		SS	VPX	32assassin, Bodydump, JPSalas	1.0.2	22-07-2018	badgirls	FALSE	
Bad Santa Pinball (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, Jimmyfingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01	23-11-2019		FALSE	
Bad Santa Pinball 2 XL (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, Jimmyfingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01	23-11-2019		FALSE	
Bad Santa Pinball XL (Original 2018)		SS	VPX	Stevegooner123, Xenonph, Lizard, Destruk, Mickey, Slydog43, Allknowing2012, Gtxjoe, Thalamus, Arngrim, Steely, Pinball Ken, Koadic, Jimmyfingers, Rascal, Cyberpez, Seraph74, JPSalas	1.01	23-11-2019		FALSE	
Balls-A-Poppin (Bally 1956)		EM	VPX	Loserman76	1.0	05-03-2019		FALSE	
Bally Hoo (Bally 1969)		EM	VPX	-=Kees=-, Leon Spalding	1.00	02-08-2019		FALSE	
Band Wagon (Bally 1965)		EM	VPX	Loserman76, Kees, Cryptdoctor21	1.0	10-09-2016		FALSE	
Bank Shot (Gottlieb 1976)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0	23-04-2018		FALSE	
Bank-A-Ball (Gottlieb 1965)		EM	VPX	Loserman76, GNance	1.0	27-03-2019		FALSE	
Banzai Run (Williams 1988)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Flupper, HauntFreaks	1.0 FSS Rev. R2.5	19-11-2018	bnzai_l3	FALSE	
Barb Wire (Gottlieb 1996)		SS	VPX	Bigus1, Tab, Destruk, Rascal	1.0	30-10-2019	barbwire	FALSE	
Barb Wire (Gottlieb 1996)	Bigus MOD	SS	VPX	Bigus1, Tab, Destruk, Rascal	1.0	26-08-2019	barbwire	FALSE	
Barb Wire (Gottlieb 1996)	VP9 to VPX Conversion	SS	VPX	Rascal, Tab, Destruk, Arngrim, Thalamus	1.4	02-04-2019	barbwire	FALSE	
Barbarella (Automaticos 1967)		EM	VPX	Loserman76, Akiles50000, JPSalas	1.0a	05-11-2019		FALSE	
Barracora (Williams 1981)		SS	VPX	Bigus1, Dids666	1.3	27-08-2019	barra_l1	FALSE	
Barracora (Williams 1981)		SS	VPX	Dids666, Gtxjoe, JPSalas, DjRobX	1.2	29-01-2018	barra_l1	FALSE	
Bart vs. the Space Mutants (Original 2017)		SS	VPX	TheGhost787	1.1	01-01-2017		FALSE	
Baseball (Gottlieb 1970)		EM	VPX	Loserman76, GNance	1.0	20-01-2019		FALSE	
Batman (Data East 1991)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Javier1515	1.2 FSS Rev. R2.5	18-11-2018	btmn_106	FALSE	
Batman (Data East 1991)		SS	VPX	Javier, Dark, Ben Logan	1.3	12-05-2017	btmn_106	FALSE	
Batman (Data East 1991)	Surround MOD	SS	VPX	Javier1515, RustyCardores	1.3		btmn_106	FALSE	
