VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Embryon (Bally 1981)		SS	VPX	ICPjuggla	1.4	26-05-2016	embryon	FALSE	
Eminem (Original 2019)			VPX	Dunriwikan45, John Memeo, Scottywic, NailBuster	1.0	01-11-2019		FALSE	
Escape from New York (Original 1984)	Conversion of Spy Hunter (Bally 1984)	SS	VPX	Shannon, 32assassin	WIP	22-03-2018		FALSE	
Evel Knievel (Bally 1977)		SS	VPX	Hauntfreaks, Arngrim	4.0.1	30-08-2017	evelknie	FALSE	
Evil Dead (Original 2018)		SS	VPX	HorsePin, Dozer, Flupper	1.1.69	17-04-2018	evildead	FALSE	
Evil Dead 2 (Original 2019)	Retheme of JPSalas's Iron Maiden (Stern 1982)	SS	VPX	Ivantba, JPSalas, MajorFrenchy	1.0	31-10-2019	ironmaid	FALSE	
Excalibur (Gottlieb 1988)	VP9 to VPX Conversion	SS	VPX	Rascal, Mfuegemann, Maralb, Whysnow, Gaspu,prob, Akiles50000, Fuzzel, JPSalas, Inkochnito, Arngrim	1.2	25-01-2019	excalibr	FALSE	
F-14 Tomcat (Williams 1987)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Ganjafarmer, 32assassin, Flupper	1.0 FSS Rev. R2.5	27-12-2018	f14_l1	FALSE	
F-14 Tomcat (Williams 1987)		SS	VPX	Ganjafarmer, Flupper1, Assassin32, Zany	1.0	04-08-2017	f14_l1	FALSE	
Faeton (Juegos Populares 1985)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas	1.0.1 FSS Rev. R2.5	13-11-2018	faeton	FALSE	
Faeton (Juegos Populares 1985)		SS	VPX	JPSalas, Lighthouse, Arngrim	1.0.3	01-02-2019	faeton	FALSE	
Family Guy (Stern 2007)		SS	VPX	Ninuzzu, HauntFreaks, Diemonik, SliderPoint	1.1.1	10-03-2019	fg_1200af	FALSE	
Family Guy - Road To The North Pole (Original 2019)	Retheme of Sexy Girl (Arkon 1980)	SS	VPX	Stevegooner123, Xenonph, Wildman, Lizard	1.0	13-12-2019	playboy	FALSE	
Far Cry 3 Blood Dragon (Original 2018)	Retheme of TRON-Classic (Original 2018)	SS	VPX	Ivantba, JPSalas, HauntFreaks, Hirez00, Xenonph	1.3	06-12-2019		FALSE	
Far Out (Gottlieb 1974)		EM	VPX	Loserman76, GNance, Popotte, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0	25-12-2017		FALSE	
Farfalla (Zaccaria 1983)		SS	VPX	Kiwi, JPSalas, Akiles50000, Arngrim	1.0.0	10-03-2019	farfalla	FALSE	
Farfalla (Zaccaria 1983)		SS	VPX	32assassin, Gtxjoe	1.0	26-12-2018	farfalla	FALSE	
Fast Draw (Gottlieb 1975)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0b	26-12-2017		FALSE	
Fast Draw (Gottlieb 1975)		EM	VPX	Mfuegemann	1.4	09-07-2016		FALSE	
Fathom (Bally 1981)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, UncleWilly, 43assassin, Vogliadicane	1.2 FSS Rev R2.6	11-03-2019	fathom	FALSE	
Fathom (Bally 1981)		SS	VPX	32assassin	2.0	06-03-2017	fathom	FALSE	
Fathom (Bally 1981)	LED MOD	SS	VPX	Vogliadicane, 32assassin, UncleWilly, HauntFreaks, Ninuzzu	1.1	30-11-2018	fathom	FALSE	
Fathom (Bally 1981)	Vintage MOD	SS	VPX	Vogliadicane, 32assassin, UncleWilly	1.2	09-09-2017	fathom	FALSE	
Fire Action (Taito do Brasil 1980)	Brazilian clone of Firepower (Williams 1980)	SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	13-12-2019	fireact	FALSE	
Fire Action De Luxe (Taito do Brasil 1983)	Brazilian clone of Firepower (Williams 1980)	SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	13-12-2019	fireactd	FALSE	
Fire Queen (Gottlieb 1977)		EM	VPX	BorgDog, Hauntfreaks, Bord	2.0	18-09-2018		FALSE	
Fire Queen (Gottlieb 1977)	FSS (Full Single Screen) MOD	EM	VPX	Arconovum, Vulcan, Dave Sanders, MaX, HauntFreaks, BorgDog, Arngrim	1.0 FSS Rev. R2.5	07-02-2019		FALSE	
Fire! (Williams 1987)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, UncleWilly, Randr, DjRobX, Wrd1972, Bord, 32assassin, HauntFreaks, RustyCadores, nFozzy, Ninuzzu	2.0 FSS Rev. 2.5	15-11-2018	fire_l3	FALSE	
Fire! (Williams 1987)		SS	VPX	DJRobX, 32Assassin, UncleWilly, Randr, HauntFreaks, nFozzy, Ninuzzu, RustyCardores	2.0	14-10-2017	fire_l3	FALSE	
Fireball (Bally 1972)		EM	VPX	pinball58	1.1	20-03-2019		FALSE	
Fireball II (Bally 1981)		SS	VPX	Javier1515	1.3	05-08-2016	fball_ii	FALSE	
Firecracker (Bally 1971)		EM	VPX	Loserman76, HauntFreaks	1.95	09-11-2018		FALSE	
Firepower (Williams 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, 3rdaxis, Slydog43, G5k, Ben Logan, Xzotic, Sliderpoint	1.0 FSS Rev. R2.5	11-12-2018	frpwr_c7	FALSE	
Firepower (Williams 1980)		SS	VPX	3rdaxis, Slydog43, G5k, Ben Logan, Xzotic, SliderPoint	1.0.1	17-12-2018	frpwr_b7	FALSE	
Firepower (Williams 1980)		SS	VPX	Wed21, Walamab, Noah, UncleRemus, HauntFreaks	1.3	24-08-2017	frpwr_c7	FALSE	
Firepower (Williams 1980)		SS	VPX	Walamab	1.0.3	04-09-2016	frpwr_c7	FALSE	
Firepower (Williams 1980)	Drop Target MOD	SS	VPX	DarthMarino, Wed21	1.0	17-02-2018	frpwr_c7	FALSE	
Firepower II (Williams 1983)		SS	VPX	Walamab	1.1	30-10-2016	fpwr2_l2	FALSE	
Firepower vs. A.I. (Williams 1980)	1 Player vs Computer AI	SS	VPX	3rdaxis, Arconovum, Slydog43, G5k, Ben Logan, Xzotic, Sliderpoint	1.1.1	04-02-2020	frpwr_c7	FALSE	
Fish Tales (Williams 1992)		SS	VPX	Pinball58, Tom Tower, Ninuzzu, PacDude, Melon, Loaded Weapon, ICPJuggla, Zany	1.1	19-03-2019	ft_l5	FALSE	
Fish Tales (Williams 1992)	Surround Sound MOD	SS	VPX	Pinball58, Tom Tower, Ninuzzu, PacDude, Melon, Loaded Weapon, ICPJuggla, Zany, RustyCardores	1.1		ft_l5	FALSE	
Fish Tales (Williams 1992)	Bigus MOD	SS	VPX	Bigus1, Pinball58, Melon, Loaded Weapon	1.0	06-10-2019	ft_l5	FALSE	
Fish Tales - VR Room (Williams 1992)	VR Version, VPVR, VR Room	SS	VPX	Senseles, Pinball58, PacDude, Melon, Loaded Weapon, ICPjuggla, Zany, 3rdaxis, Stuzza, Caligula	1.0	20-12-2019	ft_l5	FALSE	
FJ (Hankin 1978)		SS	VPX	32assassin, Angrim	1.0	26-03-2016	fjholden	FALSE	
Flash (Williams 1979)		SS	VPX	JPSalas	1.3.0	25-02-2018	flash_l1	FALSE	
Flash (Williams 1979)		SS	VPX	JPSalas, HauntFreaks, RustyCardores,	1.2.0		flash_l1	FALSE	
Flash Gordon (Bally 1981)		SS	VPX	Rothbauerw	1.0	01-07-2017	flashgdn	FALSE	
Flash Gordon (Bally 1981)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Rothbauerw,Cyberpez, Wrd1972, Sindbad, Scapino, Flupper, Wildman	1.0 FSS Rev. R2.5	06-02-2019	flashgdn	FALSE	
Flash Gordon (Bally 1981)	Sound MOD	SS	VPX	Xenonph, Rothbauerw, Cyberpez, Wrd1972, Sinbad, Scapino, Flupper, Allknowing2012, Gtxjoe, DjrobX, Stat, nFozzy, Scottacus, Slydog43	1.3	12-10-2017	flashgdn	FALSE	
Flight 2000 (Stern 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Bord	2.0 FSS Rev. R2.5	18-11-2018	flight2k	FALSE	
Flight 2000 (Stern 1980)		SS	VPX	HSM, JPSalas, Arngrim	1.1	04-08-2018	flight2k	FALSE	
Flight 2000 (Stern 1980)		SS	VPX	Bord, JPSalas, Arngrim, Thalamus	2.0	23-08-2018	flight2k	FALSE	
Flip a Card (Gottlieb 1970)		EM	VPX	Loserman76, HauntFreaks, GNance, Arngrim, JPSalas, Pinuck, BorgDog	1.0a	25-12-2017		FALSE	
Flipper Fair (Gottlieb 1961)		EM	VPX	Loserman76, GNance	1.0	03-01-2020		FALSE	
Flipper Football (Capcom 1996)		SS	VPX	32assassin, JPSalas, Borgdog	1.0	30-01-2019	ffv104	FALSE	
Flipper Pool (Gottlieb 1965)		EM	VPX	Loserman76, GNance	1.0	27-03-2019		FALSE	
Flying Carpet (Gottlieb 1972)		EM	VPX	HauntFreaks, BorgDog	1.1	12-05-2016		FALSE	
Flying Turns (Midway 1964)		EM	VPX	Rascal	1.0	29-11-2019		FALSE	
Football (Taito do Brasil 1979)		SS	VPX	JPSalas, Darquayle, Carlos Guizzo, Editoy, Culik, Fuzzel, Tio Italo	2.0.0	13-12-2019		FALSE	
Force II (Gottlieb 1981)		SS	VPX	Hsm, Rascal, Tab, Kristian, Inkochnito	1.1 1.1	06-01-2019	forceii	FALSE	
Force II (Gottlieb 1981)	VP8 to VPX Conversion	SS	VPX	Rascal, Tab, Kristian, Inkochnito	1.1	25-01-2019	forceii	FALSE	
Four Million B.C. (Bally 1971)	FSS (Full Single Screen) MOD	EM	VPX	Arconovum, Scottacus, Bord, Slydog43, Kds70	1.0 FSS Rev. R2.5	21-01-2019		FALSE	
Four Million B.C. (Bally 1971)		EM	VPX	Scottacus, Bord, Slydog43, Kds70	1.1	21-07-2018		FALSE	
Four Seasons (Gottlieb 1968)		EM	VPX	Loserman76, Cyberpez, Bord	1.0	09-11-2018		FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)	Dark's MOD	SS	VPX	Dark, JPJ,Team PP, Arngrim, Unclewilly, Grizz, Hassenchop, Hauntfreaks, Rothbauerw, DJRobX, Thalamus, CarnyPriest	2.0	17-12-2019	freddy	FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)	Siggis MOD	SS	VPX	Siggi, Jpj, HauntFreaks, Randr	1.1	17-08-2019	freddy	FALSE	
Freddy A Nightmare on Elm Street (Gottlieb 1994)		SS	VPX	Jpj, Team PP, Arngrim, Unclewilly, Grizz, Hassanchop, Hauntfreaks, Neofr45, Flupper, Aetios, nFozzy, Chucky, JPSalas, Anthony Rocco Dimarco, Khomodo	1.1b	22-02-2019	freddy	FALSE	
Free Fall (Gottlieb 1974)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0a	11-03-2018		FALSE	
Freedom (Bally 1976)		EM	VPX	Loserman76, Allknowing2012, HauntFreaks, Wrd1972	1.0a	02-12-2019		FALSE	
Freedom (Bally 1976)		SS	VPX	Allknowing2012	1.0	25-04-2016	freedom	FALSE	
Freefall (Stern 1981)		SS	VPX	JPSalas	1.1.0	22-01-2017	freefall	FALSE	
Friday the 13th (Original 2017)		SS	VPX	TheGhost787	1.0	03-01-2017		FALSE	
Friday the 13th Part II (Original 2019)	Retheme of Pharaoh (Williams 1981)	SS	VPX	Ivantba, 32assassin	1.0	26-06-2019	pharo_l2	FALSE	
Frontier (Bally 1980)		SS	VPX	Bord	2.0	29-03-2017	frontier	FALSE	
Frozen (Original 2016)		SS	VPX	Lodger	1.1	03-08-2016		FALSE	
Fun Fair (Gottlieb 1968)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
Fun Land (Gottlieb 1968)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0	24-04-2018		FALSE	
Fun Park (Gottlieb 1968)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0	24-04-2018		FALSE	
Fun-Fest (Williams 1973)		EM	VPX	PinPlayer	1.2	06-06-2019		FALSE	
Funhouse (Williams 1990)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Wrd1972	1.1 FSS Rev. R2.5	14-11-2018	fh_l9	FALSE	
Funhouse (Williams 1990)		SS	VPX	Wrd1972, JPSalas, Cyberpez, Rothbauerw, 32assassin, Dark, Ninuzzu, Vanlion, ClarkKent, Arngrim, Flupper, Schreibi34	2.0c	05-05-2019	fh_l9	FALSE	
Funhouse (Williams 1990)	DMD Mod	SS	VPX	Kellogs	DMD Mod 1.0	06-05-2019	fh_l9	FALSE	
Funhouse - VR Room (Williams 1990)	VR Version, VPVR, VR Room	SS	VPX	Gear323, Wrd1972, Shoopity, JPSalas, Cyberpez, Rothbauerw, Dark, Ninuzzu, Vanlion, Clarkkent, 32assassin, Arngrim, Flupper, Schreibi34, 3rdaxis, Caligula, Blindpeser, DJRobX	1.0	30-01-2020	fh_l9	FALSE	
Future Spa (Bally 1979)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, JPSalas	1.0.0 FSS Rev. R2.5	17-11-2018	futurspa	FALSE	
Future Spa (Bally 1979)		SS	VPX	JPSalas, Arngrim, StrangeLeo72, HauntFreaks	1.0.1	14-10-2017	futurspa	FALSE	
Galaxie (Gottlieb 1971)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
Galaxy (Stern 1980)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Bord	1.0 FSS Rev. R2.5	18-11-2018	galaxy	FALSE	
Galaxy (Stern 1980)		SS	VPX	Bord, RC10Worlds, Randr, Arconovum	1.0.1	11-06-2018	galaxy	FALSE	
Galaxy Play (CIC Play 1986)		SS	VPX	Mfuegemann, Akiles, Dark, GtxJoe	1.1	08-12-2017	glxplay	FALSE	
Gargamel Park (Original 2017)		SS	VPX	JPSalas, HauntFreaks	1.2.1	10-06-2018		FALSE	
Gay 90's (Williams 1970)		EM	VPX	Loserman76, Kees, Hauntfreaks, BorgDog, Zany	2.0	13-02-2017		FALSE	
Gemini (Gottlieb 1978)		EM	VPX	BorgDog, SliderPoint, HauntFreaks, Arngrim, Scottamus	2.1	06-04-2018		FALSE	
Gemini 2000 (Taito do Brasil 1982)		SS	VPX	JPSalas, Carlos Guizzo, Akiles5000, Pmax65	2.0.0	13-12-2019	gemini	FALSE	
Gemini 2000 (Taito do Brasil 1982)		SS	VPX	Exegeta	1.0	27-10-2017	gemini	FALSE	
Genesis (Gottlieb 1986)		SS	VPX	ICPjuggla	1.0	14-10-2016	genesis	FALSE	
Genesis - VR Room (Gottlieb 1986)	VR Version, VPVR, VR Room	SS	VPX	Senseless, ICPjuggla, JPSalas, Inkochnito, Zany, Craigd, Dark, 3rdaxis, Caligula, Wildman	1.0.2	28-01-2020	genesis	FALSE	
Genie (Gottlieb 1979)		SS	VPX	Bord, Rothbauerw, Arconovum, 32assassin, Jon Osborne	1.0	06-12-2019	genie	FALSE	
Genie (Gottlieb 1979)	Bigus MOD	SS	VPX	Bigus1, 32assassin	1.1	27-09-2019	genie	FALSE	
Genie (Gottlieb 1979)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, 32assassin, Francisco666, Fuzzel	1.0 FSS Rev. R2.5	14-11-2018	genie	FALSE	
Genie (Gottlieb 1979)		SS	VPX	32assassin, Francisco666, HauntedFreaks	1.0	29-01-2016	genie	FALSE	
Ghostbusters (Limited Edition) (Stern 2016)		SS	VPX					FALSE	
Ghosts 'n Goblins (Original 2018)	Retheme of Pink Panther (Gottlieb 1981)	SS	VPX	Ivantba, Bord	1.2	01-03-2019	pnkpnthr	FALSE	
Giana Sisters (Original 2018)	Retheme of The Table With The Least Comprehensible Theme Ever (Original 2018)	SS	VPX	Ivantba, Wizball	1.2	18-10-2018		FALSE	
Gigi (Gottlieb 1963)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0c	18-01-2018		FALSE	
Gilligan's Island (Bally 1991)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Dark, Ben Logan, ICPjuggla, Mfuegemann, Zany	1.3 FSS Rev. R2.5	18-11-2018	gi_l9	FALSE	
Gilligan's Island (Bally 1991)		SS	VPX	Dark, Rothbauerw, nFozzy, DJRobX	1.3 Physics update 1.0	25-08-2019	gi_l9	FALSE	
Gladiators (Gottlieb 1993)		SS	VPX	Kiwi	1.0.1	07-04-2019	gladiatr	FALSE	
Goin' Nuts (Gottlieb 1983)		SS	VPX	Bord, Jmreedy, Thalamus, TheLoafer, Fuzzel	1.0	15-02-2019	goinnuts	FALSE	
Goin' Nuts (Gottlieb 1983)		SS	VPX	Fuzzel	1.2	12-04-2017	goinnuts	FALSE	
Gold Ball (Bally 1983)		SS	VPX	Kalavera3, Flying Dutchman, Destruk, Dboyrecords, Hmueck	1.0	29-09-2018	goldball	FALSE	
Gold Mine (Williams 1988)	Arcade - Bowler	SS	VPX	Rascal	1.0	15-09-2019	gmine_l2	FALSE	
Gold Rush (Williams 1971)	MOD of Loserman76 / -=Kees=- 's Jackpot (Williams 1971)	EM	VPX	Hsm, -=Kees=-, Loserman76	1.0	25-07-2019		FALSE	
Gold Strike (Gottlieb 1975)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0a	12-03-2018		FALSE	
Gold Wings (Gottlieb 1986)		SS	VPX	32assassin	1.1	21-11-2016	goldwing	FALSE	
Golden Arrow (Gottlieb 1977)		EM	VPX	BorgDog	2.1	18-09-2016		FALSE	
Golden Axe (Original 2018)		SS	VPX	Ivantba, JPSalas, Batch, Xenonph	1.2	07-11-2018		FALSE	
Golden Birds (Original 2015)	Angry Birds MOD of Golden Arrow (Gottlieb 1977)	SS	VPX	BorgDog	2.0	03-02-2016		FALSE	
Goldorak (Original 2017)		SS	VPX	Javier1515, Rom, JPSalas, HauntFreaks, Stat	1.01.1	29-09-2017		FALSE	
GoldWing (Original 2018)		EM	VPX	Hsm, BorgDog	1.0	07-02-2018		FALSE	
Gorgar (Williams 1979)		SS	VPX	Fuzzel	1.3.1	10-08-2017	grgar_l1	FALSE	
Gork (Taito do Brasil 1983)		SS	VPX	JPSalas, Carlos Guizzo, Pmax65	2.0.0	13-12-2019	gork	FALSE	
Gradius (Original 2017)		SS	VPX	Wizball	1.2.1	29-05-2018		FALSE	
Gran Domino (Gottlieb 1967)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
Grand Lizard (Williams 1986)		SS	VPX	3rdaxis, Slydog43, JPSalas, Rosve, SliderPoint, Ben Logan, GtxJoe, Thalamus, G5k, Vamprecords	1.5	12-06-2019	grand_l4	FALSE	
Grand Prix (Williams 1976)		EM	VPX	Allknowing2012	1.1	11-12-2016		FALSE	
Grand Prix (Williams 1976)		EM	VPX	HSM, Allknowing2012, Rove, Argrim, Popotte, Humid	1.2	25-11-2017		FALSE	
Grand Slam (Gottlieb 1972)		EM	VPX	Loserman76, GNance	1.0	01-06-2019		FALSE	
Granny and the Gators (Bally 1984)		SS	VPX	DarthMarino, LoadedWeapon, Lazzlo, Stat	1.1a	07-04-2019	granny	FALSE	
Greedo's Cantina Pinball (Original 2019)	Graphics and Sound MOD of JPSalas' Skateball (Bally 1980)	SS	VPX	Xenonph, JPSalas, Cryptdoctor21, Allknowing2012, GtxJoe, DJRobX, Stat, nFozzy, Skydog43, Joey2001	1.0	18-06-2019	skatebll	FALSE	
Gremlins (Original 2019)	Retheme of Sexy Girl (Arkon 1980)	SS	VPX	Stevegooner123, Xenonph, Wildman, Lizard	1.0	13-12-2019	playboy	FALSE	
Gridiron (Gottlieb 1977)		EM	VPX	Loserman76, Pinuck, Scottacus, Wildman	1.0a	19-12-2018		FALSE	
Grillshow The Pinball Adventure (Original 2019)		SS	VPX	Bambi Platfuss	Final	24-12-2019		FALSE	
Groovy (Gottlieb 1970)		EM	VPX	Loserman76, GNance, Noah Fentz, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0a	27-12-2017		FALSE	
Gulfstream (Williams 1973)		EM	VPX	Scottacus, Bord, Kds70	1.1	02-06-2018		FALSE	
Guns N' Roses (Data East 1994)	4k MOD, MOD of Bigus	SS	VPX	Sheltemke, JPSalas, Bigus, Team PP, Thalamus	2.0	26-01-2020	gnr_300	FALSE	
Guns N' Roses (Data East 1994)	Bigus MOD	SS	VPX	Bigus1, JPSalas, Team PP (NeoFR45, Aetios, Chucky87, Arngrim, JPJ), Knorr, HauntFreaks, Chucky, Neo, Aetios, Ninuzzu, Tom Tower	1.0	29-07-2019	gnr_300	FALSE	
Guns N' Roses (Data East 1994)		SS	VPX	Team PP (NeoFR45, Aetios, Chucky87, Arngrim, JPJ), JPSalas, Knorr, HauntFreaks, Ninuzzu, Tom Tower, Bertie, Jens	1.08	23-02-2019	gnr_300	FALSE	
Guns N' Roses (Data East 1994)	Vintage Lighting MOD	SS	VPX	Jamal1234, Team PP (NeoFR45, Aetios, Chucky87, Arngrim, JPJ), JP Salas, Knorr, HauntFreaks, Ninuzzu, Tom Tower, Thalamus, Bigus1	1.08 - MOD 1.6.2	19-09-2019	gnr_300	FALSE	
Half-Life (Original 2019)	Retheme of Dragon Ball Z The Pinball (Original 2019)	SS	VPX	Ivantba, Javier	1.0	30-04-2019		FALSE	
Halloween (Original 2019)	Elvira inspired	SS	VPX	Fastdraw	1.0.0	19-10-2019		FALSE	
Halloween Michael Myers Pinball Adventures (Original 2018)	Retheme of Stranger Things (Orbital 2017)	SS	VPX	Ivantba, Scottywic, Stat, TerryRed	1.3	06-12-2018		FALSE	
Hardbody (Bally 1987)		SS	VPX	Tom, Mlager8, 32assassin, Thalamus, Randr, Cyberpez, Wildman	1.1	20-11-2019	hardbody	FALSE	
Harlem Globetrotters On Tour (Bally 1979)		SS	VPX	Dozer316, JPSalas	1.0a	07-06-2018	hglbtrtb	FALSE	
Harlem Globetrotters On Tour (Bally 1979)		SS	VPX	JPSalas	1.2.0	04-01-2017	hglbtrtb	FALSE	
Harley Quinn (Original 2017)		SS	VPX	HauntFreaks, JPSalas, Ninuzzu, BorgDog	1.0	27-11-2017	diamond	FALSE	
Harley-Davidson (Bally 1991)	MOD available as a download option	SS	VPX	JPSalas, Siggi, StrangeLeo72, Draifet	1.0.2	21-08-2018	hd_l3	FALSE	
Harmony (Gottlieb 1967)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
Harry Potter and the Goblet of Fire (Original 2020)	Read Installation instructions! PinUP Player required!	SS	VPX	Scottywic	0.49	09-02-2020		FALSE	
Haunted House (Gottlieb 1982)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Cyberpez, Bodydump, Wrd1972, Rothbauerw	1.0beta FSS Rev. R2.5	15-11-2018	hh	FALSE	
Haunted House (Gottlieb 1982)		SS	VPX	Cyberpez, Bodydump, Wrd1972, Rothbauerw, Bord, Dark, Arconovum, DJRobX, RustyCardores	1.0	28-10-2018	hh	FALSE	
Hawkman (Taito do Brasil 1983)		SS	VPX	JPSalas, Carlos Guizzo, Tio Italo, Pmax65	2.0.0	13-12-2019	hawkman	FALSE	
Hawkman (Taito do Brasil 1983)		SS	VPX	32assassin	1.1	13-08-2017	hawkman	FALSE	
Hearts and Spades (Gottlieb 1969)		EM	VPX	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	10-03-2018		FALSE	
Heat Wave (Williams 1964)		EM	VPX	DarthMarino, Duglis, Loserman76, Editoy, Arngrim, Bord	1.1	08-09-2018		FALSE	
Heavy Metal Meltdown (Bally 1987)		SS	VPX	32assassin, Javier1515	1.0	29-01-2016	hvymetal	FALSE	
Hercules (Atari 1979)		SS	VPX	Randr	1.6	01-11-2019	hercules	FALSE	
Hextech (Original 2016)		SS	VPX	Neo	1.0	27-05-2016		FALSE	
Hi-Diver (Gottlieb 1959)		EM	VPX	JPSalas, Stat, Strangeleo76	1.0.0	15-10-2019		FALSE	
Hi-Lo (Gottlieb 1969)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
Hi-Score Pool (Chicago Coin 1971)		EM	VPX	BorgDog, Stat, HauntFreaks, PinballShawn	1.21	06-06-2019		FALSE	
High Hand (Gottlieb 1973)		EM	VPX	Loserman76, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog, Chris Aguilar	1.0b	14-03-2018		FALSE	
High Roller Casino (Stern 2001)		SS	VPX	DJRobX, Knorr, Destruk, Tab, Bmiki75, nFozzy, Rothbauerw, Ninuzzu, JPSalas, Nailbuster	1.0	23-01-2020	hirolcas	FALSE	
High Seas (Gottlieb 1976)		EM	VPX	Loserman76, GNance	1.0	08-06-2019		FALSE	
High Speed (Williams 1986)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, 32assassin, Flupper1, Krugger99, nFozzy, DJRobX, Bord, JPSalas, Chokee	1.1 FSS Rev. R2.5	17-01-2019	hs_l4	FALSE	
High Speed (Williams 1986)		SS	VPX	32assassin	2.0	12-01-2017	hs_l4	FALSE	
High Speed (Williams 1986)	Mod of 32assassin's High Speed (Williams 1986)	SS	VPX	Chokeee, 32assassin, Flupper1, Krugger99, nFozzy, DJRobX, Bord, JPSalas, Ninuzzu, 3rdaxis, Draifet, SliderPoint	1.3	02-02-2020	hs_l4	FALSE	
Hit the Deck (Gottlieb 1978)		EM	VPX	Loserman76, GNance, Chris Aguilar, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	24-04-2018		FALSE	
Hokus Pokus (Bally 1976)		EM	VPX	Loserman76, GNance, Wrd1972	1.0	21-06-2019		FALSE	
Hollywood Heat (Gottlieb 1986)		SS	VPX	BorgDog, Bord, SliderPoint, Rothbauerw, Ninuzzu, nFozzy, Dark, HauntFreaks	1.0	03-12-2017	hlywoodh	FALSE	
Home Alone (Original 2019)	Retheme of Sexy Girl (Arkon 1980)	SS	VPX	Stevegooner123, Xenonph, Wildman, Lizard	1.0	13-12-2019	playboy	FALSE	
Home Run (Gottlieb 1971)		EM	VPX	Loserman76	1.0	05-03-2019		FALSE	
Hook (Data East 1992)	Fullscreen Bigus MOD	SS	VPX	Bigus1, Javier1515	1.2	15-01-2020	hook_500	FALSE	
Hook (Data East 1992)	FSS (Full Single Screen) MOD	SS	VPX	Arconovum, Javier1515, Dark, Akiles, Zani, Cesar Emanuel, Dev Team, JPSalas	1.00 FSS Rev. R2.5	18-11-2018	hook_500	FALSE	
Hook (Data East 1992)		SS	VPX	Javier1515, Dark, Akilles, Cesar Emanuel, Dev Team, JPSalas	1.01	05-09-2017	hook_500	FALSE	
Hoops (Gottlieb 1991)		SS	VPX	Kalavera3, Destruk, Tab, 32assassin, Roccodimarco	1.3	08-08-2018	hoops	FALSE	
Hot Ball (Taito do Brasil 1979)		SS	VPX	JPSalas, Poppotte, Editoy	2.0.0	13-12-2019	eightbll	FALSE	
Hot Ball (Taito do Brasil 1979)	Mod of JPSalas's Eight Bally (Bally 1978)	SS	VPX	Editoy, Carlos Guizzo, Tio Italo, JPSalas	1.1	26-08-2018	eightblo	FALSE	
Hot Doggin' (Bally 1980)		SS	VPX	32assassin, Bodydump	1.0.2	26-05-2018	hotdoggn	FALSE	
Hot Doggin' (Bally 1980)	Bigus MOD	SS	VPX	Bigus1, BodyDump, 32assassin, Pin-Pete	1.4	15-01-2020	hotdoggn	FALSE	
