VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
Airborne (Capcom 1996)		SS	VPX	Robbo43, DCrosby, Tab, Destruk, Bodydump, JPSalas, Ninuzzu, UncleWilly, Dark, nFozzy, Zany, Flupper	Robbo43, DCrosby, Tab, Destruk, Bodydump, JPSalas, Ninuzzu, UncleWilly, Dark, nFozzy, Zany, Flupper	1.0	abv106	FALSE	
Airborne (Capcom 1996)	FSS (Full Single Screen) MOD	SS	VPX	Morttis, Robbo43, DCrosby, Arconovum, 32assassin	Morttis, Robbo43, DCrosby, Arconovum, 32assassin	1.0 - rev.1.1 [D&N][CC][FSS][DMD][10.6+]	abv106	FALSE	
Airborne Avenger (Atari 1977)		SS	VPX	DarthMarino, Destruk, John Shepherd, Dboyrecords, BlackPredator72, 32assassin	DarthMarino, Destruk, John Shepherd, Dboyrecords, BlackPredator72, 32assassin	1.4	aavenger	FALSE	
Airport (Gottlieb 1969)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0a		FALSE	
Airwolf (Original 2020)	Mega MOD	SS	VPX	Chucky87, Ivantba, JPSalas, JPJ, JLouLou	Chucky87, Ivantba, JPSalas, JPJ, JLouLou	1.1	cosmic	FALSE	
Airwolf (Original 2020)	Retheme of Cosmic (Taito do Brasil - 1980)	SS	VPX	Ivantba, JPSalas	Ivantba, JPSalas	1.0	cosmic	FALSE	
Al Capone (LTD 1984)		SS	VPX	Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston	Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston	1.0	alcapone	FALSE	
Al's Garage Band Goes On a World Tour (Alvin G 1992)		SS	VPX	Goldchicco, 32assassin, oooPlayer1ooo, Arrestis, Sneakily1	Goldchicco, 32assassin, oooPlayer1ooo, Arrestis, Sneakily1	1.0	wrldtou2	FALSE	
Aladdin's Castle (Bally 1976)		EM	VPX	Dozer, Mjr	Dozer, Mjr	1.01		FALSE	
Alfred Hitchcock's Psycho (Original 2019)	Retheme of JPSala's Vortex (Taito do Brasil 1983)	SS	VPX	Ivantba, JPSalas	Ivantba, JPSalas	1.0	vortex	FALSE	
Algar (Williams 1980)		SS	VPX	Thalamus, Kalavera, Practisedummy, UncleWilly, LuvThatApex, Kristian, Batch, Flupper, GtxJoe, Bord, Dark, Fren, HauntFreaks, Stat	Thalamus, Kalavera, Practisedummy, UncleWilly, LuvThatApex, Kristian, Batch, Flupper, GtxJoe, Bord, Dark, Fren, HauntFreaks, Stat	1.2.2	algar_l1	FALSE	
Ali (Stern 1980)		SS	VPX	JPSalas, Arngrim	JPSalas, Arngrim	1.0.1	ali	FALSE	
Alien Poker (Williams 1980)		SS	VPX	JPSalas, Akiles50000	JPSalas, Akiles50000	1.0.1	alpok_l6	FALSE	
Alien Star (Gottlieb 1984)		SS	VPX	BorgDog, HauntFreaks, Wildman	BorgDog, HauntFreaks, Wildman	0.96	alienstr	FALSE	
Alien Trilogy (Original 2019)	Retheme of Berzerk The Pinball Game (Original 2016)	SS	VPX	Ivantba, Lodger	Ivantba, Lodger	1.0		FALSE	
Aliens (Original 2020)	MOD of JPSalas's Sorcerer (Williams 1985)	SS	VPX	Delta23, JPSalas, Siggi	Delta23, JPSalas, Siggi	1.0	sorcr_l1	FALSE	
Alive (Brunswick 1978)	Lighting and physics MOD	SS	VPX	HSM, Roccodimarco	HSM, Roccodimarco	1.0		FALSE	
Alive (Brunswick 1978)		SS	VPX	Roccodimarco, Wrenchien, HauntFreaks, Dboyrecords, Stat, BorgDog, Itchigo, Scottacus	Roccodimarco, Wrenchien, HauntFreaks, Dboyrecords, Stat, BorgDog, Itchigo, Scottacus	0.0.3		FALSE	
Alley Cats (Williams 1985)	Arcade - Bowler	SS	VPX	Rascal	Rascal	1.1	alcat_l7	FALSE	
Amazon Hunt (Gottlieb 1983)		SS	VPX	Batch, JPSalas, 32assassin, Arngrim, Kds70, HauntFreaks, Thalamus	Batch, JPSalas, 32assassin, Arngrim, Kds70, HauntFreaks, Thalamus	1.6	amazonh	FALSE	
America's Most Haunted (Spooky Pinball 2014)	Read the Installation instructions on the table downloadpage and download the files mentioned in steps 1 - 7	SS	VPX	Freneticamnesic, Shoopity, UltraPeepi, Arngrim, Knorr, Ben Heckendorn	Freneticamnesic, Shoopity, UltraPeepi, Arngrim, Knorr, Ben Heckendorn	062718a		FALSE	
Andromeda (Game Plan 1985)		SS	VPX	JPSalas, Siggi, Editoy, Kiwi, Albert	JPSalas, Siggi, Editoy, Kiwi, Albert	1.0.1	andromed	FALSE	
Animal (Original 2017)	Reskin of Galaxy Play (CIC Play 1986)	SS	VPX	Hursty	Hursty	1.0	glxplay	FALSE	
Apache! (Taito do Brasil 1978)		EM	VPX	JPSalas, Editoy, Loserman76, Xenonph, Tio Italo, Carlos Guizzo, Luiz Culik, Marcio Urso	JPSalas, Editoy, Loserman76, Xenonph, Tio Italo, Carlos Guizzo, Luiz Culik, Marcio Urso	2.0.0		FALSE	
Apache! (Taito do Brasil 1978)		EM	VPX	Editoy, Loserman76, Xenonph, Tio Italo, JPSalas, Carlos Guizzo, Luiz Culik, Marcio Urso	Editoy, Loserman76, Xenonph, Tio Italo, JPSalas, Carlos Guizzo, Luiz Culik, Marcio Urso	1.0		FALSE	
Apollo 13 (Sega 1995)		SS	VPX	Balater, Herweh, Francisco666, Arngrim, ClarkKent, Bigus1, Chucky87, 32assassin, AgentEighty6	Balater, Herweh, Francisco666, Arngrim, ClarkKent, Bigus1, Chucky87, 32assassin, AgentEighty6	1.62	apollo13	FALSE	
Aqualand (Juegos Populares 1986)		SS	VPX	Hmueck	Hmueck	1.0	aqualand	FALSE	
Aquarius (Gottlieb 1970)		EM	VPX	Loserman76, GNance, Arngrim	Loserman76, GNance, Arngrim	1.0a		FALSE	
Argosy (Williams 1977)		EM	VPX	Cirqus, User42, Luvthatapex, Dboyrecords	Cirqus, User42, Luvthatapex, Dboyrecords	1.2		FALSE	
Aristocrat (Williams 1979)	Arcade - Bowler	SS	VPX	Rascal	Rascal	1.1	arist_l1	FALSE	
Arizona (LTD 1977)		SS	VPX	Mfuegemann, CarlosGuizzo, Boituva Pinball Club	Mfuegemann, CarlosGuizzo, Boituva Pinball Club	1.1	arizona	FALSE	
Aspen (Brunswick 1979)		SS	VPX	Updon	Updon	1.3a		FALSE	
Asteroid Annie and the Aliens (Gottlieb 1980)		SS	VPX	BorgDog, HauntFreaks	BorgDog, HauntFreaks	1.1	astannie	FALSE	
