Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
Rancho (Gottlieb 1966)	Gottlieb	1966	American West	1	1917		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-06-08
Rapid Fire (Bally 1982)	Bally	1982	Space Alien Combat	4	3568		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Lizard	1.0	2017-01-15
Rapid Vienna (Original 2003)	Original	2003					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bob5453, Starman	1.0	2013-03-20
Rat Fink (Original 2016)	Original	2016		4		Conversion of Star Trek (Bally 1979)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	HauntFreaks, JPSalas, Rothbauwerw, BorgDog	1.1	2016-06-22
Rat Fink (Original 2016)	Original	2016		4		Conversion of Star Trek (Bally 1979)	SS	VP9	https://www.vpforums.org/index.php?app=downloads	HauntFreaks, JPSalas	1.4	2015-05-17
Raven (Gottlieb 1986)	Gottlieb	1986		4	1922		SS	VPX	https://vpinball.com/VPBdownloads/	Tom, Rascal, Bord, 32assassin, Randr, Arngrim, Thalamus, ICPjuglla, GtxJoe, Wildman, Dark	1.2	2019-06-10
Raven (Gottlieb 1986)	Gottlieb	1986		4	1922		SS	VPX	https://vpinball.com/VPBdownloads/	Rascal, Destruk, Tab, Moonchild, CaptainNeo	1.3	2019-02-27
Raven (Gottlieb 1986)	Gottlieb	1986		4	1922		SS	VP9	https://www.vpforums.org/index.php?app=downloads	ICPjuggla, Gtxjoe, Zany, Dark	1.1	2015-03-18
Raven (Gottlieb 1986)	Gottlieb	1986		4	1922	Rambo MOD	SS	PM5	https://www.vpforums.org/index.php?app=downloads	ICPjuggla	1.2	2015-04-10
Ravine (Original 2013)	Original	2013					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Francesco	1.0	2013-03-03
Ready...Aim...Fire! (Gottlieb 1983)	Gottlieb	1983		4	1924		SS	VPX	https://vpinball.com/VPBdownloads/	BlackPredator72, Tab, Eala Dubh, Sidhe, Gaston, Destruk	1.1	2019-04-03
Ready...Aim...Fire! (Gottlieb 1983)	Gottlieb	1983		4	1924		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Tab, Destruk	1.1	2015-04-23
Red & Ted's Road Show (Williams 1994)	Williams	1994	Travel	4	1972	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Knorr, ClarkKent, Arngrim, Mjr, Kiwi, Gigagula	1.1 FSS Rev. R2.51	2018-12-03
Red & Ted's Road Show (Williams 1994)	Williams	1994	Travel	4	1972		SS	VPX	https://vpinball.com/VPBdownloads/	Knorr, ClarkKent, Fuzzel, Toxie, Zany, Dark, Mjr, Arngrum, Kiwi, Gigagula	1.1	2016-10-13
Red & Ted's Road Show - [VR] (Williams 1994)	Williams	1994	Travel	4	1972	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Senseless, Knorr, Clark Kent	1.3.1	2020-01-09
Red Dwarf (Original 2012)	Original	2012					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Rosve	1.0.0	2012-02-21
Red Sonja (Original 2019)	Original	2019		4		Retheme of JPSalas's Nitro Ground Shaker (Bally 1980)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, JPSalas	1.0	2019-12-10
Rescue 911 (Gottlieb 1994)	Gottlieb	1994	Ambulance - Fire Trucks - Police	4	1951		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Dozer, DJRobX, Bord, Zany, ICP Juggla, Ninuzzu	1.3	2018-01-31
Resident Evil VII (Original 2019)	Original	2019		4		Retheme of JPSalas's Fire Action De Luxe (Taito do Brasil 1983)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, JPSalas	1.0	2019-10-04
Retro Zombie Adventure Land (Original 2016)	Original	2016					SS	VPX	https://www.vpforums.org/index.php?app=downloads	TheGhost787, Ben Heck, Zidware John	1.0	2016-11-09
Rey de Diamantes (Petaco 1967)	Petaco	1967	Cards - Gambling	1	4368		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0	2019-04-07
Richie Rich - The Pinball (Original 2018)	Original	2018					EM	VP9				
Rick and Morty (Original 2019)	Original	2019		4		Reskin of Fast Draw (Gottlieb 1975)	EM	VPX	https://vpinball.com/VPBdownloads/	Dunriwikan45	1.0	2019-09-09
Rider's Surf (Jocmatic 1986)	Jocmatic	1986	Sports - Surfing - Water	4	4102		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Mfuegemann, Akiles50000, Dark, Gtxjoe, Mustang1961	1.1	2019-08-03
Ripley's Believe It or Not! (Stern 2004)	Stern	2004	Licensed Theme	4	4917		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas Francisco666, Fuzzel, Leo	2.0.1	2020-01-04
Ripley's Believe It or Not! (Stern 2004)	Stern	2004	Licensed Theme	4	4917	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, JPSalas, Arconovum	2.0.1 - Rev.1 [FSS]	2020-06-29
Ripley's Believe It or Not! (Stern 2004)	Stern	2004	Licensed Theme	4	4917	Detail MOD	SS	VPX	https://vpinball.com/VPBdownloads/	JPSalas, HauntFreaks	1.0.3	2018-05-19
Ripley's Believe It or Not! (Stern 2004)	Stern	2004	Licensed Theme	4	4917		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	2.0.0	2012-10-18
Ripley's Believe It or Not! (Stern 2004)	Stern	2004	Licensed Theme	4	4917	Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	LoadedWeapon, JP Salas	1.1	2014-11-13
Ripley's Believe It or Not! - [VR] (Stern 2004)	Stern	2004	Licensed Theme	4	4917	VR Version, VPVR, Minimal VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Sixtoe, JPSalas, HauntFreaks	1.0	2020-08-29
Riverboat Gambler (Williams 1990)	Williams	1990	Gambling	4	1966		SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, 32assassin, JPSalas, Arrestis, Movieguru	1.0	2020-10-03
Riverboat Gambler (Williams 1990)	Williams	1990	Gambling	4	1966		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.0.0	2010-12-22
Riverboat Gambler (Williams 1990)	Williams	1990	Gambling	4	1966	MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Rob046, JPSalas	1.1	2010-12-22
Ro Go (Bally 1974)	Bally	1974	Fantasy - Nordic	4	1969		EM	VPX	https://www.vpforums.org/index.php?app=downloads	HSM	1.0	2018-03-17
Road Blues (Original 2020)	Original	2020	Music	4		Retheme of Seawitch (Stern 1980)	SS	VPX	https://vpinball.com/VPBdownloads/	Marty	2.0	2020-06-06
Road Kings (Williams 1986)	Williams	1986	Apocalyptic - Motorcycles	4	1970		SS	VPX	https://vpinball.com/VPBdownloads/	SliderPoint	1.1	2016-04-30
Road Race (Gottlieb 1969)	Gottlieb	1969	Sports - Auto Racing	1	1971		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, Dazz, Freneticamnesic, Grizz, GNance, Zany, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0b	2017-12-22
Road Race (Gottlieb 1969)	Gottlieb	1969	Sports - Auto Racing	1	1971		EM	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Loserman76, Dazz, Freneticamnesic, Grizz, JPSalas, EalaDubhSidhe, Black, Itchigo, Conram, Akiles50000, Inkochnito, Pinuck, Herweh, JimmyFingers, Bendigo, Arngrim	1.0	2015-01-06
Road Runner (Atari 1979)	Atari	1979	Licensed Theme	2	3517		SS	VPX	https://vpinball.com/VPBdownloads/	Kalavera3	2.0	2018-10-04
Road Runner (Atari 1979)	Atari	1979	Licensed Theme	2	3517	Sound MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Xenonph, Kalavera, Tab, Arngrim, Flupper, Thalamus, Allknowing2012, GtxJoe, DJRobX, Stat, nFozzy, Slydog43	1.1	2018-01-12
Road Runner (Atari 1979)	Atari	1979	Licensed Theme	2	3517		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, Tab	1.0	2015-01-29
Rob Zombie's Spookshow International (Standard Edition) (Spooky Pinball 2016)	Spooky Pinball	2016	Horror - Supernatural	4			SS	VPX	https://www.vpforums.org/index.php?app=downloads	TheGhost787	1.0	2016-11-20
Robo-War (Gottlieb 1988)	Gottlieb	1988	Outer Space	4	1975		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Balater	1.0.0	2019-10-26
Robo-War (Gottlieb 1988)	Gottlieb	1988	Outer Space	4	1975		SS	VPX	https://vpdb.io/games	Dozer	1.0	2017-01-19
Robocop (Data East 1989)	Data East	1989	Cops and Robbers	4	1976		SS	VPX	https://www.vpforums.org/index.php?app=downloads	ICPjuggla, Talantyyr, Dozer & Dark	1.4	2016-05-26
Robocop 3 (Original 2018)	Original	2018					SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, Hsm	1.0	2018-11-24
Robot (Zaccaria 1985)	Zaccaria	1985		4	1977		SS	VPX	https://www.vpforums.org/index.php?app=downloads	32assassin	1.1	2016-06-16
Rock (Gottlieb 1985)	Gottlieb	1985	Music	4	1978		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Darquayle	1.0.0	2017-11-12
Rock (Gottlieb 1985)	Gottlieb	1985	Music	4	1978		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, Mnpg	1.1	2015-04-23
Rock 2500 (Playmatic 1985)	Playmatic	1985	Fantasy - Music - Women	4	3538		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk	1.0	2015-11-23
Rock And Roll (Original 2020)	Original	2020		4			SS	VPX	https://vpinball.com/VPBdownloads/	Marty	1.2	2020-05-15
Rock Star (Gottlieb 1978)	Gottlieb	1978	Music - Singing	1	1983		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance, HauntFreaks, BorgDog, JPSalas, Pinuck, Arngrim	1.0	2018-03-10
Rocket III (Bally 1967)	Bally	1967	Outer Space	1	1989		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, HauntFreaks, GNance, Arngrim, JPSalas, Pinuck, BorgDog, Popotte	1.0b	2017-12-25
Rocket III (Bally 1967)	Bally	1967	Outer Space	1	1989		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, HauntFreaks, Popotte, Arngrim	1.0a	2015-08-04
RockMakers (Bally 1968)	Bally	1968	Fantasy	4	1980		EM	VPX	https://vpinball.com/VPBdownloads/	Wimkuijp, Jan Izaks	2.2	2018-06-12
Rocky (Original 2020)	Original	2020	Sports - Boxing - Licensed Theme	4		Based on JPSalas's Ali (Stern 1980)	SS	VPX	https://vpinball.com/VPBdownloads/	Marty, JPSalas	1.1	2020-05-30
Rocky (Gottlieb 1982)	Gottlieb	1982	Sports - Boxing - Licensed Theme	4	1993		SS	VPX	https://vpinball.com/VPBdownloads/	Tom, Randr, UncleWilly, Bord, Wildman	1.2	2019-07-08
Rocky (Gottlieb 1982)	Gottlieb	1982	Sports - Boxing - Licensed Theme	4	1993		SS	VP9	https://www.vpforums.org/index.php?app=downloads	1up, UncleWilly	1.0.0	2011-05-12
Roller Coaster (Gottlieb 1971)	Gottlieb	1971		2	2002		EM	VPX	https://vpinball.com/VPBdownloads/	HauntFreaks, BorgDog	2.0	2018-06-27
Roller Coaster (Gottlieb 1971)	Gottlieb	1971		2	2002		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, HauntFreaks, GNance, JPSalas, Pinuck, BorgDog, Arngrim	1.0	2017-12-25
Roller Derby (Bally 1960)	Bally	1960	Sports - Roller Skating	1	2003		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Hsm	2.0	2019-01-26
Roller Disco (Gottlieb 1980)	Gottlieb	1980	Rollerskating - Music - Happiness	4	2005	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, BorgDog, HauntFreaks	1.0 FSS Rev. R2.5	2018-11-15
Roller Disco (Gottlieb 1980)	Gottlieb	1980	Rollerskating - Music - Happiness	4	2005		SS	VPX	https://vpinball.com/VPBdownloads/	BorgDog, HauntFreaks, Senseless	1.02	2018-05-28
Roller Disco (Gottlieb 1980)	Gottlieb	1980	Rollerskating - Music - Happiness	4	2005		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Zany, Serpiko	1.0	2013-06-28
Roller Disco (Gottlieb 1980)	Gottlieb	1980	Rollerskating - Music - Happiness	4	2005	Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	LoadedWeapon, Serpiko, Zany	2.0	2015-07-07
RollerCoaster Tycoon (Stern 2002)	Stern	2002	Rollercoasters - Licensed Theme	4	4536		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, ClarkKent, Arngrim, Outhere, 32assassin	1.0.3	2018-11-14
RollerCoaster Tycoon (Stern 2002)	Stern	2002	Rollercoasters - Licensed Theme	4	4536	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, JPSalas, Arconovum	1.0.3 - Rev.1 [FSS]	2020-06-29
RollerCoaster Tycoon (Stern 2002)	Stern	2002	Rollercoasters - Licensed Theme	4	4536		SS	VP9	https://www.vpforums.org/index.php?app=downloads	BlackPredator72, JPSala	2.0.0	2013-05-25
Rollergames (Williams 1990)	Williams	1990	Sports - Roller Derby - Roller Skating - Licensed Theme	4	2006		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Javier15	1.0.1a	2017-01-02
Rollergames (Williams 1990)	Williams	1990	Sports - Roller Derby - Roller Skating - Licensed Theme	4	2006	Drop Target MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	DarthMarino, Javier15	1.2	2018-03-02
Rolling Stones (Bally 1980)	Bally	1980	Celebrities - Licensed	4	2010	iDig rEMix Vol. 2 - Music MOD	SS	VPX	https://vpinball.com/VPBdownloads/	JPSalas, iDigStuff	1.2	2020-06-12
Rolling Stones (Bally 1980)	Bally	1980	Celebrities - Licensed	4	2010		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.0.2	2017-08-28
Rolling Stones (Bally 1980)	Bally	1980	Celebrities - Licensed	4	2010		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.0.1	2010-04-05
Rolling Stones 2 (Original 1980)	Original	1980	Celebrities - Licensed	4	2010	MOD of Rolling Stones (Bally 1980)	SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.0.1	2010-11-24
Rolling Stones Damaged (Original 1980)	Original	1980	Celebrities - Licensed	4	2010	Music MOD of Rolling Stones (Bally 1980)	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, JPSalas	1.1	2016-04-14
Roman Victory (Taito do Brasil 1977)	Taito do Brasil	1977	Roman History	4	5493		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Editoy, Akiles50000, Stat, Carlos Guizzo	2.0.0	2019-12-13
Royal Flush (Gottlieb 1976)	Gottlieb	1976	Cards - Gambling	4	2035		EM	VPX	https://vpinball.com/VPBdownloads/	BorgDog	1.0	2017-02-16
Royal Flush Deluxe (Gottlieb 1983)	Gottlieb	1983	Cards - Gambling	4	2036		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Balater, BorgDog, Mike da Spike	1.03	2020-01-31
Royal Flush Deluxe (Gottlieb 1983)	Gottlieb	1983	Cards - Gambling	4	2036		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Grizz, UncleWilly	1.1	2011-03-22
Royal Guard (Gottlieb 1968)	Gottlieb	1968	World Cultures	1	2037		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck, Arngrim	1.0a	2018-04-25
Royal Pair (Gottlieb 1974)	Gottlieb	1974	Cards - Gambling	1	2038		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance	1.0a	2019-06-02
Rugby (Original 2014)	Original	2014					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Mfuegemann	2.1	2014-12-23
Rush 2112 (Original 2012)	Original	2012	Music			Music in 2 seperate downloads	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Open6l, JPSalas, Grizz, Destruk, Rosve, Herweh, Bent98	1.1	2014-12-02
Rush 2112 (Original 2012)	Original	2012	Music			For Music download see the Installation Info on download page	SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim, MovieGuru	1.1	2020-10-02
S.T.A.L.K.E.R (Original 2011)	Original	2011					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Rosve, RipleYYY	1.0.0	2011-09-13
Sabaton (Original 2012)	Original	2012					SS	VP9	https://www.vpforums.org/index.php?app=downloads	Punish	1.0	2012-12-02
Safe Cracker (Bally 1996)	Bally	1996	Cops and Robbers - Money	4	3782	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Flupper, Fuzzel, Rothbauerw, HauntFreaks, Destruk, JPSalas, UncleWilly	1.0.1 FSS Rev. R2.5	2018-11-16
Safe Cracker (Bally 1996)	Bally	1996	Cops and Robbers - Money	4	3782		SS	VPX	https://vpinball.com/VPBdownloads/	Fuzzel, Flupper, Rothbauerw, Acronovum, HauntFreaks, ICPJuggla, OldskoolGamer, Herweh, Destruk, JPSalas, UncleWilly	1.0	2018-05-23
Safe Cracker (Bally 1996)	Bally	1996	Cops and Robbers - Money	4	3782		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Herweh, ICPjuggla, OldskoolGamer, Herweh	1.0	2013-09-01
Safe Cracker - [VR] (Bally 1996)	Bally	1996	Cops and Robbers - Money	4	3782	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	B4sti, Flupper, Fuzzel, Rothbauerw, Arconovum, HauntFreaks, ICPjuggla, OldskoolGamer, Herweh, Destruk, JPSalas, Unclewilly	1.1	2020-05-30
Satin Doll (Williams 1975)	Williams	1975	Music - Singing	2	2057		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, Tom, Chinzman93, Wildman, Griz	1.0	2019-11-13
Saturn 2 (Bell Games 1985)	Bell Games	1985	Space	4	3542		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Tab, Destruk	1.0	2015-02-03
Scared Stiff (Bally 1996)	Bally	1996	Licensed Theme - Celebrities - Horror	4	3915		SS	VPX	https://vpinball.com/VPBdownloads/	nFozzy, Shoopity, Dozer, JPSalas, HauntFreaks, ICPJuggla, Arngrim, Flupper, LoaderWeapon, Knorr	1.43	2018-06-05
Scared Stiff (Bally 1996)	Bally	1996	Licensed Theme - Celebrities - Horror	4	3915	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Arconovum, Shoopity, Dozer, JPSalas, nFozzy, HauntFreaks, ICPJugglah, Arngrim, Flupper, LoadedWeapon, Knorr	1.24 FSS Rev. R2.6	2019-02-16
Scared Stiff - [VR] (Bally 1996)	Bally	1996	Licensed Theme - Celebrities - Horror	4	3915	VR Version, VPVR, VR Room	SS	VR	https://vpinball.com/VPBdownloads/	Senseless, nFozzy, Walter, Caligula, Dozer316, JPSalas, HauntFreaks, ICPJuggla, Arngrim, Flupper1	1.0	2020-07-10
Scarface - Balls and Power (Original 2013)	Original	2013				VP9 to VPX MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, 32assassin, JPSalas, Hassanchop, Luvthatapex, Rascal, Herweh, Arngrim	1.2	2020-06-12
Scarface - Balls and Power (Original 2013)	Original	2013					SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas, Hassanchop	1.0.0	2013-01-24
Scarface - Balls and Power (Original 2013)	Original	2013				Ledwiz Cabinet Edition	SS	VP9	https://www.vpforums.org/index.php?app=downloads	LuvThatApex, JPSalas, Hassanchop, Herweh	1.0	2013-01-24
Scooby Doo - The Pinball (Original 2018)	Original	2018					SS	VP9				
Scooby Doo! and KISS - Rock 'n Roll Mystery (Original 2015)	Original	2015				Conversion of Kiss (Bally 1979)	SS	VP9	https://www.vpforums.org/index.php?app=downloads	HauntFreaks	1.0	2015-10-09
Scorpion (Williams 1980)	Williams	1980	Fantasy	4	2067		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Allknowing2012, Drybonz, John90803, Thalamus, HauntFreaks, Wolis	2.1b	2017-11-30
Scorpion (Williams 1980)	Williams	1980	Fantasy	4	2067	Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, Allknowing2012	1.0	2020-06-17
Scorpion (Williams 1980)	Williams	1980	Fantasy	4	2067		SS	VPX	Not Available	Allknowing2012, Daryl Erwin	2.1	
Scramble (Tecnoplay 1987)	Tecnoplay	1987	Sports - Motorcycles - Motocross	4	3557		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Tab, Destruk, PacDude	1.0	2015-02-05
Screech (Inder 1976)	Inder	1976		1	3939		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Tab, Destruk	2.0.1	2011-10-31
Scuba (Gottlieb 1970)	Gottlieb	1970	Mermaids - Mythology - Scuba Diving - Swimming - Water	2	2077		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0a	2017-12-25
Scuba (Gottlieb 1970)	Gottlieb	1970	Mermaids - Mythology - Scuba Diving - Swimming - Water	2	2077		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance	1.0a	2015-07-04
Sea Ray (Bally 1971)	Bally	1971	Sports - Water Sports - Spear Fishing - Diving	2	2085		EM	VPX	https://vpinball.com/VPBdownloads/	Scottacus, Bord, Kds70	1.0.38	2018-05-04
Seawitch (Stern 1980)	Stern	1980	Fantasy	4	2089		SS	VPX	https://vpinball.com/VPBdownloads/	Bord, DeathInc, JR, Thalamus, Tom, Mark70, PEandS1Ws, Jesperpark, Oldschool4, Naeromagus, Bjschneider93, Robertms Flstclasic, Kds70	1.0a	2020-07-02
Seawitch (Stern 1980)	Stern	1980	Fantasy	4	2089		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Martin Bunker, Leo, Jolo	1.0.0	2020-04-27
Seawitch (Stern 1980)	Stern	1980	Fantasy	4	2089		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Flash62	1.0	2018-06-05
Seawitch (Stern 1980)	Stern	1980	Fantasy	4	2089		SS	VPX	https://vpinball.com/VPBdownloads/	UncleWilly, HauntFreaks, 32assassin	2.0	2018-06-04
Seawitch (Stern 1980)	Stern	1980	Fantasy	4	2089	Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	UncleWilly, MartinB	1.0.0	2010-03-11
Secret Service (Data East 1988)	Data East	1988	Police - Spy	4	2090		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	DCrosby, 32assassin, Roccodimarco, Robo43	1.3	2019-11-03
Secret Service (Data East 1988)	Data East	1988	Police - Spy	4	2090	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, DCrosby, Arconovum	1.3 - Rev. 1.0 [FSS]	2020-08-05
Secret Service (Data East 1988)	Data East	1988	Police - Spy	4	2090		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, LuvThatApex, Tab, Destruk	1.1	2015-02-06
See Saw (Bally 1970)	Bally	1970		4	2091		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Rosve	1.0.4	2012-04-11
Serious Sam II (Original 2019)	Original	2019					SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.0.2	2020-01-04
Serious Sam Pinball (Original 2017)	Original	2017					SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, ClarkKent, Thalamus, Arngrim	3.0.0	2020-05-23
Sexy Girl (Arkon 1980)	Arkon	1980	Girls - Women	4	2106		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Lizard, Destruk, Mickey, ICPJuggla, GtxJoe, Arngrim, Steely, Pinball Ken, Koadic, JimmyFingers, Rascal, CyberPez, Seraph74, HauntFreaks, JP	1.0	2016-07-04
Shangri-La (Williams 1967)	Williams	1967	World Places	4	2110		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Bodydump	1.0	2014-01-22
Shangri-La (Williams 1967)	Williams	1967	World Places	4	2110		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, Bodydump	1.0	2020-08-07
Shaq Attaq (Gottlieb 1995)	Gottlieb	1995	Sports - Basketball - Celebrities - Licensed Theme	4	2874		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, John Doe	1.0	2015-02-10
Shark (Taito do Brasil 1982)	Taito do Brasil	1982	Boats - Scuba Diving - Nautical - Water	4	4582		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Tio Italo, Carlos Guizzo, Pmax65	2.0.0	2019-12-13
Shark (Taito do Brasil 1982)	Taito do Brasil	1982	Boats - Scuba Diving - Nautical - Water	4	4582	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, JPSalas, Arconovum, Wildman, Carlos Guizzo	2.0.0 - rev.2.0 [D&N][CC][FSS][SS][10.6+]	2020-09-07
Shark (Taito do Brasil 1982)	Taito do Brasil	1982	Boats - Scuba Diving - Nautical - Water	4	4582		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Dox, Maloti, Destruk	1.0	2015-02-10
Sharkey's Shootout (Stern 2000)	Stern	2000	Billiards	4	4492		SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Freneticamnesic, Gtxjoe, 000Player1000, Destruks, Dazz, Arngrim, Wildman, Randr	1.0	2014-05-21
Sharkey's Shootout (Stern 2000)	Stern	2000	Billiards	4	4492		SS	VPX	https://vpinball.com/VPBdownloads/	Diemonik, Freneticamnesic, JPSalas, Rx2006je	1.2.1	2020-09-06
Sharp Shooter II (Game Plan 1983)	Game Plan	1983		4	2114		SS	VPX	https://vpinball.com/VPBdownloads/	Kalavera3, Kiwi, Dboyrecords, Destruk, Tab, Eala Dubh Sidhe, Aussie34, Stat, Wildman, Inkochnito, JPSalas, Assassins32, Ninuzzu, DJRobX, Rothbauerw, Flupper, HauntFreaks, Kds70, Thalamus	1.2.2	2018-09-28
Sharp Shooter II (Game Plan 1983)	Game Plan	1983		4	2114		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, Tab, Eala Dubh Sidhe, Aussie33	1.0	2015-02-12
Sharpshooter (Game Plan 1979)	Game Plan	1979	American West	4	2113		SS	VPX	https://www.vpforums.org/index.php?app=downloads	HSM, Bodydump, Thingamajiik, Darquayle, Htamas	1.0	2018-01-20
Sharpshooter (Game Plan 1979)	Game Plan	1979	American West	4	2113		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Bodydump, JimmyFingers, Eala	1.0	2013-01-25
Sharpshooter (Bally 1961)	Bally	1961	Arcade - Shooting Gallery		13318	Arcade - Shooting Gallery	EM	VPX	https://vpinball.com/VPBdownloads/	Rascal	1.0	2019-10-21
Sheriff (Gottlieb 1971)	Gottlieb	1971	American West - Law Enforcement	4	2116		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, Popotte, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0a	2017-12-25
