Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
Airwolf (Original 2020)	Original	2020				Retheme of Cosmic (Taito do Brasil - 1980)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, JPSalas	1.0	2020-03-23
Al Capone (LTD 1984)	LTD	1984	American History - Cards - Gambling	4	5176		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston	1.0	2019-12-29
Al's Garage Band Goes On a World Tour (Alvin G 1992)	Alvin G	1992	Music - Singing	4	3513		SS	VP9	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	oooPlayer1ooo	1.0	2013-08-22
Al's Garage Band Goes On a World Tour (Alvin G 1992)	Alvin G	1992	Music - Singing	4	3513		SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, 32assassin, oooPlayer1ooo, Arrestis, Sneakily1, Batch, MovieGuru, Arngrim	1.2	2020-09-28
Aladdin's Castle (Bally 1976)	Bally	1976	Fantasy - Myth and Legend	2	40		EM	VPX	https://vpdb.io/games	Dozer, Mjr	1.01	2018-05-16
Aladdin's Castle (Bally 1976)	Bally	1976	Fantasy - Myth and Legend	2	40		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Mjr, Itchigo, Greywolf	1.0	2015-08-07
Alfred Hitchcock's Psycho (Original 2019)	Original	2019		4		Retheme of JPSala's Vortex (Taito do Brasil 1983)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, JPSalas	1.0	2019-08-11
Algar (Williams 1980)	Williams	1980	Fantasy	4	42		SS	VPX	https://vpinball.com/VPBdownloads/	Thalamus, Kalavera, Practisedummy, UncleWilly, LuvThatApex, Kristian, Batch, Flupper, GtxJoe, Bord, Dark, Fren, HauntFreaks, Stat	1.2.2	2018-11-01
Ali (Stern 1980)	Stern	1980	Sports - Boxing - Licensed Theme	4	43		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Arngrim	1.0.1	2017-06-28
Ali (Stern 1980)	Stern	1980	Sports - Boxing - Licensed Theme	4	43		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.3.0	2011-04-02
Alien Poker (Williams 1980)	Williams	1980	Fantasy - Outer Space - Cards - Gambling	4	48		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Akiles50000	1.0.1	2017-12-29
Alien Poker (Williams 1980)	Williams	1980	Fantasy - Outer Space - Cards - Gambling	4	48		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Unclewilly	1.0	2009-12-20
Alien Star (Gottlieb 1984)	Gottlieb	1984	Outer Space - Fantasy	4	49		SS	VPX	https://vpinball.com/VPBdownloads/	BorgDog, HauntFreaks, Wildman	0.96	2018-06-12
Alien Star (Gottlieb 1984)	Gottlieb	1984	Outer Space - Fantasy	4	49		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Destruk, Kristian, LuvThatApex	2.1.0	2009-07-23
Alien Trilogy (Original 2019)	Original	2019				Retheme of Berzerk The Pinball Game (Original 2016)	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ivantba, Lodger	1.0	2019-02-12
Aliens (Original 2020)	Original	2020		4		MOD of JPSalas's Sorcerer (Williams 1985)	SS	VPX	https://vpinball.com/VPBdownloads/	Delta23, JPSalas, Siggi	1.0	2020-05-07
Alive (Brunswick 1978)	Brunswick	1978	Music	4	50	Lighting and physics MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	HSM, Roccodimarco	1.0	2020-01-10
Alive (Brunswick 1978)	Brunswick	1978	Music	4	50		SS	VPX	https://vpinball.com/VPBdownloads/	Roccodimarco, Wrenchien, HauntFreaks, Dboyrecords, Stat, BorgDog, Itchigo, Scottacus	0.0.3	2018-06-01
Alley Cats (Williams 1985)	Williams	1985	Arcade - Bowler		17598	Arcade - Bowler	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Rascal	1.1	2019-09-16
Amazon Hunt (Gottlieb 1983)	Gottlieb	1983	-	4	66		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Batch, JPSalas, 32assassin, Arngrim, Kds70, HauntFreaks, Thalamus	1.6	2019-02-16
Amazon Hunt (Gottlieb 1983)	Gottlieb	1983	-	4	66		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Batch, JPSalas	1.1	2016-01-02
America 1492 (Juegos Populares 1986)	Juegos Populares	1986	Historical	4	5013		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Mfuegemann	1.0	2016-09-11
America's Most Haunted (Spooky Pinball 2014)	Spooky Pinball	2014	Ghost Hunting - Supernatural	4		Read the Installation instructions on the table downloadpage and download the files mentioned in steps 1 - 7	SS	VPX	https://vpinball.com/VPBdownloads/	Freneticamnesic, Shoopity, UltraPeepi, Arngrim, Knorr, Ben Heckendorn	062718a	2019-04-04
Andromeda (Game Plan 1985)	Game Plan	1985	Fantasy - Women	4	73		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Siggi, Editoy, Kiwi, Albert	1.0.1	2020-04-19
Andromeda (Game Plan 1985)	Game Plan	1985	Fantasy - Women	4	73	Fullscreen + LIT (Rollover Dividers) MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Xenonph, Dboyrecords, Destruk, Lander, Inkochnito, Aldiode, Stat, Kiwi	1.1	2017-01-31
Andromeda (Original 2020)	Original	2020					EM	VP9				
Animal (Original 2017)	Original	2017		4		Reskin of Galaxy Play (CIC Play 1986)	SS	VPX	See Spreadsheet	Hursty	1.0	2018-09-04
Animal World (Original 2018)	Original	2018	-				EM	VP9				
Antar (Playmatic 1979)	Playmatic	1979	Dragons - Fantasy	4	3646		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Kruuth, Schinkenpeter	1.1	2016-05-24
Apache! (Taito do Brasil 1978)	Taito do Brasil	1978	Native Americans - Warriors	4	4660		EM	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Editoy, Loserman76, Xenonph, Tio Italo, Carlos Guizzo, Luiz Culik, Marcio Urso	2.0.0	2019-12-13
Apache! (Taito do Brasil 1978)	Taito do Brasil	1978	Native Americans - Warriors	4	4660		EM	VPX	https://vpinball.com/VPBdownloads/	Editoy, Loserman76, Xenonph, Tio Italo, JPSalas, Carlos Guizzo, Luiz Culik, Marcio Urso	1.0	2018-10-30
Apollo 13 (Sega 1995)	Sega	1995	Disaster - Space	6	3592		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Balater, Herweh, Francisco666, Arngrim, ClarkKent, Bigus1, Chucky87, 32assassin, AgentEighty6	1.62	2020-06-12
Apollo 13 (Sega 1995)	Sega	1995	Disaster - Space	6	3592		SS	VP9	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	ICPjuggla and Herweh	1.0.2	2014-01-10
Aqualand (Juegos Populares 1986)	Juegos Populares	1986	Amusement Park - Water	4	3935		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Hmueck	1.0	2015-12-24
Aquarius (Gottlieb 1970)	Gottlieb	1970	Astrology	1	79		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance, Arngrim	1.0a	2018-03-14
Aquarius (Gottlieb 1970)	Gottlieb	1970	Astrology	1	79		EM	VP9	https://www.vpforums.org/index.php?app=downloads	GNance	1.2	2015-05-10
Arena (Gottlieb 1987)	Gottlieb	1987	Fantasy	4	82		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Mfuegemann	1.0	2015-01-24
Argosy (Williams 1977)	Williams	1977	Boats - Nautical - Ships - Water	4	84		EM	VP9	https://www.vpforums.org/index.php?app=downloads	User42, LuvThatApex, Dboyrecords	1.0	2016-12-06
Argosy (Williams 1977)	Williams	1977	Boats - Nautical - Ships - Water	4	84		EM	VPX	https://vpinball.com/VPBdownloads/	Cirqus, User42, Luvthatapex, Dboyrecords	1.2	2020-09-13
Argosy - [VR] (Williams 1977)	Williams	1977	Boats - Nautical - Ships - Water	4	84	VR Version, VPVR, Minimal VR Room	EM	VR	https://vpinball.com/VPBdownloads/	Cirqus, User42, Luvthatapex, Dboyrecords	1.2	2020-09-13
Aristocrat (Williams 1979)	Williams	1979	Arcade - Bowler		17602	Arcade - Bowler	SS	VPX	https://vpinball.com/VPBdownloads/	Rascal	1.1	2019-09-25
Arizona (LTD 1977)	LTD	1977	American West	2	5890		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Mfuegemann, CarlosGuizzo, Boituva Pinball Club	1.1	2020-03-07
Aspen (Brunswick 1979)	Brunswick	1979	Sports - Snow Skiing	4	3660		SS	VPX	https://vpinball.com/VPBdownloads/	Updon	1.3a	2017-01-20
Asteroid Annie and the Aliens (Gottlieb 1980)	Gottlieb	1980	Aliens - Outer Space - Fantasy - Playing Cards - Poker	1	98		SS	VPX	https://vpinball.com/VPBdownloads/	BorgDog, HauntFreaks	1.1	2017-03-08
Asteroid Annie and the Aliens (Gottlieb 1980)	Gottlieb	1980	Aliens - Outer Space - Fantasy - Playing Cards - Poker	1	98	EB (new Playfield) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	EBisLit, BorgDog, HauntFreaks, MovieGuru	1.1	2020-09-24
Asteroid Annie and the Aliens (Gottlieb 1980)	Gottlieb	1980	Aliens - Outer Space - Fantasy - Playing Cards - Poker	1	98		SS	VP9	https://vpinball.com/VPBdownloads/	HauntFreaks, FrankenCade, Dboyrecords, Serpico	1.11	2014-12-24
Asteroids (Original 2016)	Original	2016	-				SS	VPX	https://www.vpforums.org/index.php?app=downloads	TheGhost787	1.0	2016-12-03
Astral Defender (Original 2018)	Original	2018	-				SS	VPX	https://www.vpforums.org/index.php?app=downloads	Ronimhoff	1.0	2018-02-10
Astro (Gottlieb 1971)	Gottlieb	1971	Outer Space	1	99		EM	VPX	https://www.vpforums.org/index.php?app=downloads	BorgDog	1.2	2016-05-25
Atlantis (Bally 1989)	Bally	1989	Myth and Legend - Water Sports	4	106		SS	VPX	https://vpinball.com/VPBdownloads/	Herweh, Schreibi34, 32assassin, OldSkoolGamer, Cosmic80, ICPjugglah, DCrosby, Bord, Rosve, Vogliadicane, Flupper, Ninuzzu, Dark, nFozzy, DJRobX, Rothbauerw, Thalamus	1.1	2019-08-16
Atlantis (Bally 1989)	Bally	1989	Myth and Legend - Water Sports	4	106	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Morttis, Herweh, Arconovum	1.1 - rev.2.0 [D&N][CC][FSS][SS][10.6+]	2020-08-18
Atlantis (Bally 1989)	Bally	1989	Myth and Legend - Water Sports	4	106		SS	VP9	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	ICPjuggla	1.1	2013-07-15
Atlantis (Gottlieb 1975)	Gottlieb	1975	Fantasy - Mythology	1	105		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, Bodydump, GNance, Arngrim, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0c	2019-08-11
Atlantis (LTD 1978)	LTD	1978	Fantasy	2	6712		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Mfuegemann, CarlosGuizzo	1.0	2020-09-04
Atleta (Inder 1991)	Inder	1991	Sports - Athletics - Track and Field	4	4095		SS	VPX	https://www.vpforums.org/index.php?app=downloads	Hmueck	1.0	2015-12-26
Atleta (Inder 1991)	Inder	1991	Sports - Athletics - Track and Field	4	4095		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Pachecas, Akiles50000, JPSalas, Mfuegeman	1.0	2018-03-07
Attack (Playmatic 1980)	Playmatic	1980	Outer Space - Fantasy	4	2884		SS	VP9	https://www.vpforums.org/index.php?app=downloads	Dboyrecords, Destruk, Stat, Kiwi	1.1	2016-02-23
Attack and Revenge from Mars (Original 2015)	Original	2015	Aliens - Martians - Fantasy				SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas	2.0.2	2020-03-25
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		Cyberpez Version - MOD of Dozer's Version	SS	VPX	https://vpinball.com/VPBdownloads/	Cyberpez, JPSalas, Dozer, Wrd1972, Rothbauerw, HauntFreaks, ClarkKent, Randr, Flupper, DJRobX, RustyCarcores, nFozzy, The Loafer, Arngrim, TheMotherBrain	1.0	2019-01-18
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		Bigus MOD	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Bigus1, JPSalas, Arngrim	2.0	2020-09-08
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		Graphics Remaster MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Brad1X, JPSalas	2.0.1 GR	2020-06-19
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		Groni Version	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Groni	1.0	2016-01-31
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		dB2SDeskTop ColorDMD MOD	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Xenonph, Dozer, JPSalas, Cyberpez, ICPJuggla, HauntFreaks	1.0	2017-11-16
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		G5k Version	SS	VPX	See Spreadsheet	G5k, DJRobX, Tom Tower, JimmyFingers, Arrie, Virriguy, CK, Peter Docter	1.1	2019-06-07
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		Dozer Version	SS	VPX	https://www.vpforums.org/index.php?app=downloads	Dozer, ICP Juggla, Hauntfreaks	1.0	2016-01-16
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		JPSalas Version	SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Arngrim	2.0.1	2020-01-04
Attack from Mars (Bally 1995)	Bally	1995	Aliens - Martians - Fantasy	4		JPSalas Version, Wed21 PMD MOD	SS	VPX	See Spreadsheet	JP Salas, Wed21	?	
