This is the complete list of games supported by PinMAME 3.2 [MAME 0.76] (Oct  5 2019).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Austin Powers (3.02 French)      |  Yes  |  Yes  |  Yes  |  Yes  | austinf  |
| Austin Powers (3.02)             |  Yes  |  Yes  |  Yes  |  Yes  | austin   |
| Austin Powers (3.02 Italian)     |  Yes  |  Yes  |  Yes  |  Yes  | austini  |
| Avatar (V1.06)                   |  Yes  |  Yes  |  Yes  |  Yes  | avr_106  |
| Avatar (V2.0)                    |  Yes  |  Yes  |  Yes  |  Yes  | avr_200  |
| Avatar (V1.1)                    |  Yes  |  Yes  |  Yes  |  Yes  | avr_110  |
| Avatar Limited Edition (V1.2)    |  Yes  |  Yes  |  Yes  |  Yes  | avr_120h |
| Avatar Limited Edition (V1.01)   |  Yes  |  Yes  |  Yes  |  Yes  | avr_101h |
| Avengers, The (V1.7)             |  Yes  |  Yes  |  Yes  |  Yes  | avs_170  |
| Avengers, The (V1.4)             |  Yes  |  Yes  |  Yes  |  Yes  | avs_140  |
| Avengers, The (V1.1)             |  Yes  |  Yes  |  Yes  |  Yes  | avs_110  |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_120h |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_170h |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_140h |
| BMX                              |  Yes  |  Yes  |  Yes  |  Yes  | bmx      |
| BMX (Free Play)                  |  Yes  |  Yes  |  Yes  |  Yes  | bmxa     |
| Baby Pac-Man (Video/Pinball Combo|  Yes  |  Yes  |  Yes  |  Yes  | babypaca |
| Baby Pac-Man (Video/Pinball Combo|  Yes  |  Yes  |  Yes  |  Yes  | babypac  |
| Baby Pac-Man (Video/Pinball Combo|  Yes  |  Yes  |  Yes  |  Yes  | babypacn |
| Back to the Future (2.7)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a27 |
| Back to the Future (2.8)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a28 |
| Back to the Future (2.7 German)  |  Yes  |  Yes  |  Yes  |  Yes  | bttf_g27 |
| Back to the Future (2.1)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a21 |
| Back to the Future (2.0)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a20 |
| Bad Cats (LA-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_l2 |
| Bad Cats (L-5)                   |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_l5 |
| Bad Girls (German)               |  Yes  |  Yes  | Yes(2)|  Yes  | badgirlg |
| Bad Girls (French Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | badgrffp |
| Bad Girls                        |  Yes  |  Yes  | Yes(2)|  Yes  | badgirls |
| Bad Girls (German Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | badgrgfp |
| Bad Girls (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | badgrlfp |
| Bad Girls (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | badgirlf |
| Banzai Run (L-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_l3 |
| Banzai Run (P-A Prototype)       |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_pa |
| Banzai Run (L-3 Target sound fix)|  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_t3 |
| Banzai Run (L-1)                 |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_l1 |
| Banzai Run (G-3 German)          |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_g3 |
| Barb Wire                        |  Yes  |  Yes  | Yes(2)|  Yes  | barbwire |
| Barracora (L-1)                  |  Yes  |  Yes  | Yes(2)|  Yes  | barra_l1 |
| Basketball                       |  Yes  |  Yes  |  Yes  |  Yes  | bsktball |
| Batman (1.03)                    |  Yes  |  Yes  |  Yes  |  Yes  | btmn_103 |
| Batman (1.03 German)             |  Yes  |  Yes  |  Yes  |  Yes  | btmn_g13 |
| Batman (1.01)                    |  Yes  |  Yes  |  Yes  |  Yes  | btmn_101 |
| Batman (1.06)                    |  Yes  |  Yes  |  Yes  |  Yes  | btmn_106 |
| Batman (1.03 French)             |  Yes  |  Yes  |  Yes  |  Yes  | btmn_f13 |
| Batman Forever (4.0)             |  Yes  |  Yes  |  Yes  |  Yes  | batmanf  |
| Batman Forever (3.0)             |  Yes  |  Yes  |  Yes  |  Yes  | batmanf3 |
| Batman Forever (4.0 Timed Play)  |  Yes  |  Yes  |  Yes  |  Yes  | bmf_time |
| Batman Forever (4.0 Japanese)    |  Yes  |  Yes  |  Yes  |  Yes  | bmf_jp   |
| Batman Forever (4.0 Swedish)     |  Yes  |  Yes  |  Yes  |  Yes  | bmf_sv   |
| Batman Forever (4.0 Norwegian)   |  Yes  |  Yes  |  Yes  |  Yes  | bmf_no   |
| Batman Forever (4.0 Spanish)     |  Yes  |  Yes  |  Yes  |  Yes  | bmf_sp   |
| Batman Forever (4.0 Italian)     |  Yes  |  Yes  |  Yes  |  Yes  | bmf_it   |
| Batman Forever (2.02)            |  Yes  |  Yes  |  Yes  |  Yes  | batmanf2 |
| Batman Forever (1.02)            |  Yes  |  Yes  |  Yes  |  Yes  | batmanf1 |
| Batman Forever (4.0 French)      |  Yes  |  Yes  |  Yes  |  Yes  | bmf_fr   |
| Batman Forever (4.0 German)      |  Yes  |  Yes  |  Yes  |  Yes  | bmf_de   |
| Batman Forever (4.0 Canadian)    |  Yes  |  Yes  |  Yes  |  Yes  | bmf_cn   |
| Batman Forever (4.0 Swiss)       |  Yes  |  Yes  |  Yes  |  Yes  | bmf_ch   |
| Batman Forever (4.0 Belgian)     |  Yes  |  Yes  |  Yes  |  Yes  | bmf_be   |
| Batman Forever (4.0 Austrian)    |  Yes  |  Yes  |  Yes  |  Yes  | bmf_at   |
| Batman Forever (4.0 English)     |  Yes  |  Yes  |  Yes  |  Yes  | bmf_uk   |
| Batman Forever (4.0 Dutch)       |  Yes  |  Yes  |  Yes  |  Yes  | bmf_nl   |
| Batman: The Dark Knight (V2.0)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_200  |
| Batman: The Dark Knight (V2.2)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_220  |
| Batman: The Dark Knight (V2.4)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_240  |
| Batman: The Dark Knight (V2.9)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_290  |
| Batman: The Dark Knight (V1.3)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_130  |
| Batman: The Dark Knight (V1.5)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_150  |
| Batman: The Dark Knight (V2.94)  |  Yes  |  Yes  |  Yes  |  Yes  | bdk_294  |
| Batman: The Dark Knight (V2.1)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_210  |
| Batman: The Dark Knight (V1.6)   |  Yes  |  Yes  |  Yes  |  Yes  | bdk_160  |
| Batman: The Dark Knight Home Edit|  Yes  |  Yes  |  Yes  |  Yes  | bdk_300  |
| Baywatch (3.00 Dutch)            |  Yes  |  Yes  |  Yes  |  Yes  | bay_d300 |
| Baywatch (4.00 Dutch)            |  Yes  |  Yes  |  Yes  |  Yes  | bay_d400 |
| Baywatch (4.00 English)          |  Yes  |  Yes  |  Yes  |  Yes  | bay_e400 |
| Baywatch (4.01 unofficial MOD)   |  Yes  |  Yes  |  Yes  |  Yes  | bay_401  |
| Baywatch (4.00)                  |  Yes  |  Yes  |  Yes  |  Yes  | baywatch |
| Beach Bums (Hollywood Heat unoffi|  Yes  |  Yes  | Yes(2)|  Yes  | beachbms |
| Beat the Clock (with flasher supp|  Yes  |  Yes  |  Yes  |  Yes  | beatclc2 |
| Beat the Clock                   |  Yes  |  Yes  |  Yes  |  Yes  | beatclck |
| Bell Ringer                      |  Yes  |  Yes  | Yes(2)|  Yes  | bellring |
| Big Ball Bowling (Bowler)        |  Yes  |  Yes  | Yes(2)|  Yes  | bbbowlin |
| Big Bang Bar (Beta 1.9 US)       |  Yes  |  Yes  |  Yes  |  Yes  | bbb109   |
| Big Bang Bar (Beta 1.8 US)       |  Yes  |  Yes  |  Yes  |  Yes  | bbb108   |
| Big Bat                          |  Yes  |  Yes  |  Yes  |  Yes  | bigbat   |
| Big Buck Hunter Pro (V1.5)       |  Yes  |  Yes  |  Yes  |  Yes  | bbh_150  |
| Big Buck Hunter Pro (V1.7)       |  Yes  |  Yes  |  Yes  |  Yes  | bbh_170  |
| Big Buck Hunter Pro (V1.6)       |  Yes  |  Yes  |  Yes  |  Yes  | bbh_160  |
| Big Buck Hunter Pro (V1.4)       |  Yes  |  Yes  |  Yes  |  Yes  | bbh_140  |
| Big Game                         |  Yes  |  Yes  | Yes(2)|  Yes  | biggame  |
| Big Game (Free Play)             |  Yes  |  Yes  | Yes(2)|  Yes  | biggamfp |
| Big Guns (L-7)                   |  Yes  |  Yes  | Yes(2)|  Yes  | bguns_l7 |
| Big Guns (L-A)                   |  Yes  |  Yes  | Yes(2)|  Yes  | bguns_la |
| Big Guns (L-8)                   |  Yes  |  Yes  | Yes(2)|  Yes  | bguns_l8 |
| Big Guns (L-AC Competition MOD)  |  Yes  |  Yes  | Yes(2)|  Yes  | bguns_lac |
| Big Guns (P-1 Prototype)         |  Yes  |  Yes  | Yes(2)|  Yes  | bguns_p1 |
| Big House (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | bighousf |
| Big House (French Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | bighsffp |
| Big House (German)               |  Yes  |  Yes  | Yes(2)|  Yes  | bighousg |
| Big House (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | bighosfp |
| Big House (German Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | bighsgfp |
| Big House                        |  Yes  |  Yes  | Yes(2)|  Yes  | bighouse |
| Big Hurt (rev. 3)                |  Yes  |  Yes  | Yes(2)|  Yes  | bighurt  |
| Big Strike (Shuffle) (L-1)       |  Yes  |  Yes  |  Yes  |  Yes  | bstrk_l1 |
| Big Town                         |  Yes  |  Yes  |  Yes  |  Yes  | bigtown  |
| Bike Race                        |   No  |  Yes  |  Yes  |  Yes  | bikerace |
| Bike Race (2-ball play)          |   No  |  Yes  |  Yes  |  Yes  | bikerac2 |
| Black Beauty (Shuffle)           |  Yes  |  Yes  | Yes(2)|  Yes  | blbeauty |
| Black Belt (Zaccaria, Italian Spe|  Yes  |  Yes  |Partial|  Yes  | bbeltifp |
| Black Belt (Zaccaria, French Spee|  Yes  |  Yes  |Partial|  Yes  | bbeltffp |
| Black Belt (Zaccaria, German Spee|  Yes  |  Yes  |Partial|  Yes  | bbeltgfp |
| Black Belt                       |  Yes  |  Yes  |  Yes  |  Yes  | blackblt |
| Black Belt (Squawk and Talk)     |  Yes  |  Yes  |  Yes  |  Yes  | blackbl2 |
| Black Belt (Zaccaria, Free Play) |  Yes  |  Yes  |Partial|  Yes  | bbeltzfp |
| Black Belt (Zaccaria, Italian Spe|  Yes  |  Yes  |Partial|  Yes  | bbeltzai |
| Black Belt (Zaccaria)            |  Yes  |  Yes  |Partial|  Yes  | bbeltzac |
| Black Belt (Zaccaria, German Spee|  Yes  |  Yes  |Partial|  Yes  | bbeltzag |
| Black Belt (Zaccaria, French Spee|  Yes  |  Yes  |Partial|  Yes  | bbeltzaf |
| Black Fever                      |  Yes  |  Yes  |  Yes  |  Yes  | blkfever |
| Black Hole (Sound Only, 7-digit c|  Yes  |  Yes  | Yes(2)|  Yes  | blkhol7s |
| Black Hole (Sound Only)          |  Yes  |  Yes  | Yes(2)|  Yes  | blkholea |
| Black Hole (rev. 4)              |  Yes  |  Yes  | Yes(2)|  Yes  | blckhole |
| Black Hole (rev. 2)              |  Yes  |  Yes  | Yes(2)|  Yes  | blkhole2 |
| Black Hole (LTD)                 |  Yes  |  Yes  |   No  |  Yes  | bhol_ltd |
| Black Hole (7-digit conversion)  |  Yes  |  Yes  | Yes(2)|  Yes  | blkhole7 |
| Black Jack (Saucer points modific|  Yes  |  Yes  |  Yes  |  Yes  | blackjcc |
